FID,condition_model,Criticality_SCR,Condition_Score,criticality_model
3077,280,180,280,180
3078,440,210,440,210
3079,80,30,80,30
3080,280,210,280,210
3081,320,210,320,210
3082,240,30,240,30
3083,200,30,200,30
3084,280,30,280,30
3085,240,120,240,120
3086,200,30,200,30
3087,400,30,400,30
3088,320,120,320,120
3089,240,120,240,120
3090,400,30,400,30
3091,400,30,400,30
3092,200,30,200,30
3093,200,30,200,30
3094,200,30,200,30
3095,360,30,360,30
3096,320,30,320,30
3097,280,30,280,30
3098,280,30,280,30
3099,160,210,160,210
3100,160,210,160,210
3101,160,30,160,30
3102,200,210,200,210
3103,160,210,160,210
3104,160,210,160,210
3105,400,30,400,30
3106,320,30,320,30
3107,240,30,240,30
3108,240,120,240,120
3109,160,30,160,30
3110,240,120,240,120
3111,320,30,320,30
3112,280,30,280,30
3113,240,30,240,30
3114,240,30,240,30
3115,160,120,160,120
3116,160,120,160,120
3117,200,30,200,30
3118,200,120,200,120
3119,240,30,240,30
3120,160,30,160,30
3121,160,30,160,30
3122,160,30,160,30
3123,160,30,160,30
3124,160,30,160,30
3125,160,30,160,30
3126,200,30,200,30
3127,160,30,160,30
3128,160,30,160,30
3129,200,30,200,30
3130,200,30,200,30
3131,160,30,160,30
3132,160,30,160,30
3133,200,30,200,30
3134,160,30,160,30
3135,160,30,160,30
3136,160,30,160,30
3137,240,90,240,90
3138,160,30,160,30
3139,240,180,240,180
3140,240,120,240,120
3141,200,30,200,30
3142,160,30,160,30
3143,320,120,320,120
3144,280,120,280,120
3145,280,120,280,120
3146,280,120,280,120
3147,160,120,160,120
3148,160,120,160,120
3149,200,120,200,120
3150,200,120,200,120
3151,240,30,240,30
3152,160,30,160,30
3153,160,30,160,30
3154,160,30,160,30
3155,160,30,160,30
3156,240,120,240,120
3157,200,120,200,120
3158,200,30,200,30
3159,320,120,320,120
3160,120,30,120,30
3161,200,210,200,210
3162,160,210,160,210
3163,240,210,240,210
3164,200,210,200,210
3165,240,30,240,30
3166,160,120,160,120
3167,240,30,240,30
3168,240,30,240,30
3169,240,30,240,30
3170,200,30,200,30
3171,160,90,160,90
3172,160,120,160,120
3173,200,30,200,30
3174,200,30,200,30
3175,320,120,320,120
3176,240,120,240,120
3177,160,120,160,120
3178,200,120,200,120
3179,280,30,280,30
3180,160,30,160,30
3181,160,30,160,30
3182,160,30,160,30
3183,160,30,160,30
3184,240,90,240,90
3185,160,30,160,30
3186,240,90,240,90
3187,160,90,160,90
3188,240,120,240,120
3189,200,30,200,30
3190,320,120,320,120
3191,240,120,240,120
3192,200,30,200,30
3193,120,120,120,120
3194,280,210,280,210
3195,400,120,400,120
3196,160,30,160,30
3197,160,30,160,30
3198,200,120,200,120
3199,240,120,240,120
3200,160,30,160,30
3201,160,30,160,30
3202,200,30,200,30
3203,160,120,160,120
3204,240,120,240,120
3205,160,30,160,30
3206,280,30,280,30
3207,280,30,280,30
3208,120,30,120,30
3209,120,30,120,30
3210,160,30,160,30
3211,160,30,160,30
3212,160,90,160,90
3213,240,120,240,120
3214,120,210,120,210
3215,120,210,120,210
3216,160,210,160,210
3217,120,210,120,210
3218,120,210,120,210
3219,120,210,120,210
3220,120,210,120,210
3221,120,210,120,210
3222,120,210,120,210
3223,160,210,160,210
3224,160,120,160,120
3225,200,30,200,30
3226,120,30,120,30
3227,120,30,120,30
3228,160,30,160,30
3229,120,30,120,30
3230,120,30,120,30
3231,160,30,160,30
3232,120,30,120,30
3233,120,30,120,30
3234,200,30,200,30
3235,160,30,160,30
3236,120,30,120,30
3237,120,120,120,120
3238,200,120,200,120
3239,200,30,200,30
3240,120,30,120,30
3241,120,210,120,210
3242,120,210,120,210
3243,160,120,160,120
3244,120,120,120,120
3245,120,120,120,120
3246,120,120,120,120
3247,120,120,120,120
3248,120,120,120,120
3249,120,120,120,120
3250,120,120,120,120
3251,120,120,120,120
3252,120,120,120,120
3253,120,120,120,120
3254,120,120,120,120
3255,120,120,120,120
3256,120,210,120,210
3257,120,30,120,30
3258,160,30,160,30
3259,160,30,160,30
3260,120,30,120,30
3261,120,30,120,30
3262,120,30,120,30
3263,120,210,120,210
3264,120,120,120,120
3265,120,210,120,210
3266,200,210,200,210
3267,120,210,120,210
3268,120,210,120,210
3269,120,210,120,210
3270,120,210,120,210
3271,120,210,120,210
3272,120,210,120,210
3273,120,210,120,210
3274,120,210,120,210
3275,120,210,120,210
3276,120,120,120,120
3277,120,120,120,120
3278,200,30,200,30
3279,280,30,280,30
3280,200,120,200,120
3281,120,120,120,120
3282,120,210,120,210
3283,120,210,120,210
3284,120,210,120,210
3285,120,210,120,210
3286,120,210,120,210
3287,160,210,160,210
3288,160,30,160,30
3289,120,30,120,30
3290,120,30,120,30
3291,80,30,80,30
3292,240,30,240,30
3293,160,30,160,30
3294,120,30,120,30
3295,120,30,120,30
3296,120,30,120,30
3297,120,30,120,30
3298,120,30,120,30
3299,120,30,120,30
3300,200,30,200,30
3301,120,30,120,30
3302,160,30,160,30
3303,160,30,160,30
3304,200,210,200,210
3305,200,210,200,210
3306,160,210,160,210
3307,160,210,160,210
3308,120,210,120,210
3309,120,210,120,210
3310,120,210,120,210
3311,160,210,160,210
3312,120,210,120,210
3313,160,120,160,120
3314,120,210,120,210
3315,120,210,120,210
3316,120,210,120,210
3317,120,210,120,210
3318,240,30,240,30
3319,120,30,120,30
3320,120,30,120,30
3321,120,30,120,30
3322,120,30,120,30
3323,120,30,120,30
3324,240,30,240,30
3325,280,120,280,120
3326,160,120,160,120
3327,120,210,120,210
3328,200,30,200,30
3329,200,30,200,30
3330,240,30,240,30
3331,240,30,240,30
3332,200,30,200,30
3333,280,120,280,120
3334,240,120,240,120
3335,120,30,120,30
3336,120,30,120,30
3337,200,30,200,30
3338,120,30,120,30
3339,200,30,200,30
3340,200,30,200,30
3341,160,30,160,30
3342,240,120,240,120
3343,240,120,240,120
3344,120,120,120,120
3345,280,120,280,120
3346,280,120,280,120
3347,360,30,360,30
3348,200,30,200,30
3349,200,210,200,210
3350,280,210,280,210
3351,360,30,360,30
3352,160,30,160,30
3353,80,30,80,30
3354,240,120,240,120
3355,240,120,240,120
3356,200,120,200,120
3357,120,120,120,120
3358,200,120,200,120
3359,240,30,240,30
3360,200,120,200,120
3361,280,120,280,120
3362,280,120,280,120
3363,200,120,200,120
3364,120,120,120,120
3365,200,120,200,120
3366,200,120,200,120
3367,200,120,200,120
3368,160,30,160,30
3369,120,30,120,30
3370,160,30,160,30
3371,120,30,120,30
3372,120,30,120,30
3373,120,30,120,30
3374,120,30,120,30
3375,120,30,120,30
3376,120,30,120,30
3377,120,30,120,30
3378,120,30,120,30
3379,120,30,120,30
3380,280,30,280,30
3381,160,30,160,30
3382,120,120,120,120
3383,120,120,120,120
3384,120,120,120,120
3385,120,30,120,30
3386,120,30,120,30
3387,160,30,160,30
3388,200,30,200,30
3389,120,30,120,30
3390,120,30,120,30
3391,120,120,120,120
3392,120,30,120,30
3393,120,30,120,30
3394,120,30,120,30
3395,120,120,120,120
3396,120,120,120,120
3397,120,30,120,30
3398,200,30,200,30
3399,280,30,280,30
3400,120,120,120,120
3401,120,120,120,120
3402,120,120,120,120
3403,120,120,120,120
3404,120,120,120,120
3405,120,120,120,120
3406,160,120,160,120
3407,160,30,160,30
3408,240,30,240,30
3409,200,30,200,30
3410,320,30,320,30
3411,240,30,240,30
3412,160,120,160,120
3413,160,120,160,120
3414,240,30,240,30
3415,200,120,200,120
3416,160,120,160,120
3417,400,120,400,120
3418,240,120,240,120
3419,240,120,240,120
3420,160,120,160,120
3421,160,30,160,30
3422,120,30,120,30
3423,120,30,120,30
3424,240,30,240,30
3425,240,120,240,120
3426,200,120,200,120
3427,280,30,280,30
3428,160,120,160,120
3429,200,120,200,120
3430,200,120,200,120
3431,160,120,160,120
3432,160,120,160,120
3433,160,120,160,120
3434,160,120,160,120
3435,160,120,160,120
3436,160,120,160,120
3437,160,120,160,120
3438,400,30,400,30
3439,280,120,280,120
3440,240,120,240,120
3441,400,30,400,30
3442,400,30,400,30
3443,240,120,240,120
3444,240,120,240,120
3445,320,120,320,120
3446,360,30,360,30
3447,240,30,240,30
3448,360,30,360,30
3449,240,30,240,30
3450,280,120,280,120
3451,240,30,240,30
3452,200,30,200,30
3453,200,30,200,30
3454,160,30,160,30
3455,200,120,200,120
3456,320,120,320,120
3457,240,30,240,30
3458,240,30,240,30
3459,280,30,280,30
3460,200,120,200,120
3461,160,120,160,120
3462,200,30,200,30
3463,240,120,240,120
3464,160,120,160,120
3465,240,120,240,120
3466,200,30,200,30
3467,160,120,160,120
3468,320,30,320,30
3469,240,30,240,30
3470,400,30,400,30
3471,240,120,240,120
3472,160,120,160,120
3473,160,120,160,120
3474,200,30,200,30
3475,240,120,240,120
3476,160,120,160,120
3477,240,120,240,120
3478,200,120,200,120
3479,160,120,160,120
3480,160,120,160,120
3481,320,120,320,120
3482,280,30,280,30
3483,200,120,200,120
3484,120,120,120,120
3485,120,120,120,120
3486,120,120,120,120
3487,120,120,120,120
3488,120,120,120,120
3489,120,120,120,120
3490,120,120,120,120
3491,280,30,280,30
3492,120,120,120,120
3493,120,120,120,120
3494,120,120,120,120
3495,280,30,280,30
3496,320,30,320,30
3497,160,30,160,30
3498,200,30,200,30
3499,160,120,160,120
3500,160,120,160,120
3501,200,30,200,30
3502,120,120,120,120
3503,120,120,120,120
3504,160,30,160,30
3505,120,120,120,120
3506,120,120,120,120
3507,120,120,120,120
3508,120,120,120,120
3509,120,120,120,120
3510,160,120,160,120
3511,160,120,160,120
3512,160,120,160,120
3513,400,120,400,120
3514,280,120,280,120
3515,360,120,360,120
3516,360,120,360,120
3517,120,120,120,120
3518,120,120,120,120
3519,40,210,40,210
3520,280,210,280,210
3521,200,210,200,210
3522,320,210,320,210
3523,120,120,120,120
3524,120,120,120,120
3525,120,30,120,30
3526,120,210,120,210
3527,120,210,120,210
3528,280,120,280,120
3529,160,120,160,120
3530,120,210,120,210
3531,120,210,120,210
3532,120,210,120,210
3533,120,30,120,30
3534,120,30,120,30
3535,120,30,120,30
3536,120,30,120,30
3537,120,30,120,30
3538,160,210,160,210
3539,160,210,160,210
3540,120,30,120,30
3541,120,30,120,30
3542,120,30,120,30
3543,120,30,120,30
3544,280,30,280,30
3545,280,30,280,30
3546,200,210,200,210
3547,120,210,120,210
3548,160,30,160,30
3549,120,210,120,210
3550,120,210,120,210
3551,200,180,200,180
3552,200,180,200,180
3553,200,180,200,180
3554,120,180,120,180
3555,120,180,120,180
3556,120,180,120,180
3557,200,180,200,180
3558,200,180,200,180
3559,240,180,240,180
3560,160,180,160,180
3561,160,180,160,180
3562,160,180,160,180
3563,240,180,240,180
3564,240,180,240,180
3565,200,180,200,180
3566,160,180,160,180
3567,160,180,160,180
3568,160,180,160,180
3569,160,180,160,180
3570,160,180,160,180
3571,160,180,160,180
3572,160,180,160,180
3573,160,180,160,180
3574,160,180,160,180
3575,160,180,160,180
3576,160,180,160,180
3577,320,180,320,180
3578,160,180,160,180
3579,160,180,160,180
3580,160,180,160,180
3581,160,180,160,180
3582,160,180,160,180
3583,160,180,160,180
3584,360,180,360,180
3585,160,180,160,180
3586,240,180,240,180
3587,160,180,160,180
3588,160,180,160,180
3589,200,180,200,180
3590,280,270,280,270
3591,240,180,240,180
3592,160,180,160,180
3593,160,180,160,180
3594,160,180,160,180
3595,320,180,320,180
3596,360,180,360,180
3597,160,180,160,180
3598,160,180,160,180
3599,200,180,200,180
3600,120,270,120,270
3601,200,180,200,180
3602,200,180,200,180
3603,160,180,160,180
3604,120,270,120,270
3605,120,270,120,270
3606,200,180,200,180
3607,120,180,120,180
3608,120,180,120,180
3609,120,270,120,270
3610,120,270,120,270
3611,120,270,120,270
3612,120,270,120,270
3613,120,270,120,270
3614,160,270,160,270
3615,200,180,200,180
3616,120,270,120,270
3617,320,270,320,270
3618,120,270,120,270
3619,200,270,200,270
3620,120,270,120,270
3621,200,270,200,270
3622,200,270,200,270
3623,200,270,200,270
3624,120,180,120,180
3625,200,180,200,180
3626,120,270,120,270
3627,160,270,160,270
3628,160,270,160,270
3629,200,180,200,180
3630,200,180,200,180
3631,120,180,120,180
3632,120,180,120,180
3633,240,180,240,180
3634,320,180,320,180
3635,280,180,280,180
3636,120,270,120,270
3637,120,270,120,270
3638,160,270,160,270
3639,160,270,160,270
3640,320,180,320,180
3641,120,180,120,180
3642,280,180,280,180
3643,360,180,360,180
3644,120,180,120,180
3645,120,180,120,180
3646,160,180,160,180
3647,160,180,160,180
3648,280,270,280,270
3649,160,270,160,270
3650,200,270,200,270
3651,320,270,320,270
3652,280,270,280,270
3653,240,270,240,270
3654,320,270,320,270
3655,360,270,360,270
3656,240,270,240,270
3657,40,180,40,180
3658,120,180,120,180
3659,120,180,120,180
3660,200,180,200,180
3661,160,180,160,180
3662,160,180,160,180
3663,200,270,200,270
3664,120,270,120,270
3665,120,180,120,180
3666,120,180,120,180
3667,120,180,120,180
3668,120,120,120,120
3669,120,120,120,120
3670,240,30,240,30
3671,320,30,320,30
3672,280,30,280,30
3673,240,30,240,30
3674,240,30,240,30
3675,320,30,320,30
3676,280,30,280,30
3677,280,30,280,30
3678,280,120,280,120
3679,240,120,240,120
3680,120,120,120,120
3681,360,30,360,30
3682,280,30,280,30
3683,280,30,280,30
3684,240,30,240,30
3685,240,30,240,30
3686,240,30,240,30
3687,240,30,240,30
3688,240,30,240,30
3689,240,30,240,30
3690,240,30,240,30
3691,280,30,280,30
3692,280,120,280,120
3693,440,120,440,120
3694,240,30,240,30
3695,240,30,240,30
3696,280,30,280,30
3697,240,30,240,30
3698,280,30,280,30
3699,240,30,240,30
3700,240,30,240,30
3701,320,30,320,30
3702,440,30,440,30
3703,240,30,240,30
3704,240,30,240,30
3705,240,30,240,30
3706,240,30,240,30
3707,280,30,280,30
3708,160,270,160,270
3709,200,270,200,270
3710,160,270,160,270
3711,160,270,160,270
3712,240,270,240,270
3713,160,270,160,270
3714,120,270,120,270
3715,120,270,120,270
3716,120,270,120,270
3717,120,270,120,270
3718,200,270,200,270
3719,200,120,200,120
3720,160,270,160,270
3721,200,180,200,180
3722,320,180,320,180
3723,240,180,240,180
3724,240,180,240,180
3725,240,180,240,180
3726,320,180,320,180
3727,280,180,280,180
3728,320,180,320,180
3729,280,180,280,180
3730,320,180,320,180
3731,240,180,240,180
3732,320,180,320,180
3733,200,180,200,180
3734,400,0,400,0
3735,200,180,200,180
3736,240,180,240,180
3737,320,180,320,180
3738,240,180,240,180
3739,240,180,240,180
3740,240,180,240,180
3741,240,180,240,180
3742,240,180,240,180
3743,240,180,240,180
3744,240,180,240,180
3745,280,180,280,180
3746,240,180,240,180
3747,240,180,240,180
3748,320,180,320,180
3749,320,180,320,180
3750,240,180,240,180
3751,200,180,200,180
3752,400,0,400,0
3753,280,0,280,0
3754,240,180,240,180
3755,240,180,240,180
3756,240,180,240,180
3757,240,180,240,180
3758,240,180,240,180
3759,240,180,240,180
3760,240,180,240,180
3761,360,180,360,180
3762,320,180,320,180
3763,360,180,360,180
3764,320,180,320,180
3765,240,180,240,180
3766,480,180,480,180
3767,240,180,240,180
3768,360,180,360,180
3769,240,180,240,180
3770,280,180,280,180
3771,320,180,320,180
3772,280,180,280,180
3773,240,180,240,180
3774,320,180,320,180
3775,360,180,360,180
3776,240,180,240,180
3777,360,180,360,180
3778,360,180,360,180
3779,200,180,200,180
3780,280,180,280,180
3781,280,180,280,180
3782,280,180,280,180
3783,240,180,240,180
3784,240,0,240,0
3785,280,180,280,180
3786,280,180,280,180
3787,240,180,240,180
3788,280,180,280,180
3789,280,180,280,180
3790,320,180,320,180
3791,280,180,280,180
3792,240,180,240,180
3793,240,180,240,180
3794,320,180,320,180
3795,240,180,240,180
3796,320,180,320,180
3797,280,180,280,180
3798,320,0,320,0
3799,360,0,360,0
3800,320,0,320,0
3801,320,120,320,120
3802,120,30,120,30
3803,200,120,200,120
3804,80,210,80,210
3805,280,180,280,180
3806,480,180,480,180
3807,120,210,120,210
3808,240,180,240,180
3809,280,0,280,0
3810,160,210,160,210
3811,240,30,240,30
3812,160,180,160,180
3813,240,210,240,210
3814,280,210,280,210
3815,120,270,120,270
3816,240,270,240,270
3817,320,210,320,210
3818,280,120,280,120
3819,120,210,120,210
3820,240,210,240,210
3821,120,30,120,30
3822,360,30,360,30
3823,240,120,240,120
3824,160,270,160,270
3825,200,120,200,120
3826,120,120,120,120
3827,120,120,120,120
3828,200,120,200,120
3829,200,120,200,120
3830,120,30,120,30
3831,320,210,320,210
3832,240,180,240,180
3833,120,210,120,210
3834,280,180,280,180
3835,160,120,160,120
3836,280,30,280,30
3837,240,30,240,30
3838,280,180,280,180
3839,200,270,200,270
3840,80,180,80,180
3841,120,180,120,180
3842,200,180,200,180
3843,160,30,160,30
3844,360,30,360,30
3845,240,30,240,30
3846,280,30,280,30
3847,280,180,280,180
3848,360,0,360,0
3849,240,0,240,0
3850,200,0,200,0
3851,240,120,240,120
3852,280,0,280,0
3853,280,180,280,180
3854,440,180,440,180
3855,400,180,400,180
3856,280,0,280,0
3857,40,180,40,180
3858,40,210,40,210
3859,40,210,40,210
3860,200,210,200,210
3861,160,180,160,180
3862,360,180,360,180
3863,200,180,200,180
3864,400,0,400,0
3865,400,180,400,180
3866,360,180,360,180
3867,280,180,280,180
3868,280,120,280,120
3869,240,30,240,30
3870,200,120,200,120
3871,360,0,360,0
3872,280,0,280,0
3873,240,0,240,0
3874,240,0,240,0
3875,200,0,200,0
3876,240,0,240,0
3877,280,0,280,0
3878,240,0,240,0
3879,200,0,200,0
3880,240,0,240,0
3881,280,0,280,0
3882,240,0,240,0
3883,240,0,240,0
3884,240,0,240,0
3885,200,0,200,0
3886,240,120,240,120
3887,240,120,240,120
3888,280,120,280,120
3889,240,120,240,120
3890,360,30,360,30
3891,240,30,240,30
3892,240,120,240,120
3893,240,120,240,120
3894,120,0,120,0
3895,160,0,160,0
3896,240,120,240,120
3897,280,30,280,30
3898,240,30,240,30
3899,280,30,280,30
3900,200,30,200,30
3901,280,30,280,30
3902,280,30,280,30
3903,400,30,400,30
3904,240,30,240,30
3905,240,30,240,30
3906,480,30,480,30
3907,480,30,480,30
3908,360,30,360,30
3909,440,30,440,30
3910,240,30,240,30
3911,320,0,320,0
3912,240,30,240,30
3913,240,30,240,30
3914,240,0,240,0
3915,280,30,280,30
3916,360,30,360,30
3917,280,30,280,30
3918,280,30,280,30
3919,240,30,240,30
3920,320,30,320,30
3921,240,30,240,30
3922,240,30,240,30
3923,280,30,280,30
3924,280,30,280,30
3925,280,0,280,0
3926,280,0,280,0
3927,280,0,280,0
3928,240,30,240,30
3929,360,30,360,30
3930,240,30,240,30
3931,160,30,160,30
3932,280,30,280,30
3933,280,30,280,30
3934,280,30,280,30
3935,240,30,240,30
3936,240,30,240,30
3937,280,30,280,30
3938,280,30,280,30
3939,320,30,320,30
3940,240,30,240,30
3941,360,30,360,30
3942,320,30,320,30
3943,320,30,320,30
3944,320,30,320,30
3945,240,30,240,30
3946,320,30,320,30
3947,320,30,320,30
3948,320,30,320,30
3949,320,30,320,30
3950,240,30,240,30
3951,280,30,280,30
3952,240,30,240,30
3953,240,30,240,30
3954,320,30,320,30
3955,240,30,240,30
3956,320,30,320,30
3957,320,30,320,30
3958,360,30,360,30
3959,360,30,360,30
3960,320,30,320,30
3961,400,30,400,30
3962,400,30,400,30
3963,400,30,400,30
3964,320,30,320,30
3965,240,30,240,30
3966,360,30,360,30
3967,240,30,240,30
3968,400,30,400,30
3969,480,30,480,30
3970,360,30,360,30
3971,360,30,360,30
3972,360,0,360,0
3973,280,0,280,0
3974,360,0,360,0
3975,320,0,320,0
3976,360,0,360,0
3977,240,0,240,0
3978,280,30,280,30
3979,240,30,240,30
3980,240,30,240,30
3981,80,270,80,270
3982,200,270,200,270
3983,280,270,280,270
3984,240,120,240,120
3985,240,120,240,120
3986,320,120,320,120
3987,320,120,320,120
3988,280,180,280,180
3989,120,210,120,210
3990,200,210,200,210
3991,240,120,240,120
3992,240,120,240,120
3993,200,180,200,180
3994,240,180,240,180
3995,160,30,160,30
3996,240,120,240,120
3997,280,120,280,120
3998,240,120,240,120
3999,240,120,240,120
4000,120,30,120,30
4001,120,30,120,30
4002,320,30,320,30
4003,200,210,200,210
4004,160,210,160,210
4005,240,210,240,210
4006,240,210,240,210
4007,240,210,240,210
4008,160,210,160,210
4009,160,210,160,210
4010,200,210,200,210
4011,240,210,240,210
4012,200,210,200,210
4013,160,120,160,120
4014,160,120,160,120
4015,160,210,160,210
4016,200,210,200,210
4017,160,210,160,210
4018,200,210,200,210
4019,200,210,200,210
4020,160,210,160,210
4021,160,210,160,210
4022,200,210,200,210
4023,200,210,200,210
4024,40,30,40,30
4025,160,120,160,120
4026,200,210,200,210
4027,160,210,160,210
4028,200,210,200,210
4029,160,210,160,210
4030,320,210,320,210
4031,280,210,280,210
4032,200,210,200,210
4033,240,210,240,210
4034,200,210,200,210
4035,160,210,160,210
4036,200,210,200,210
4037,120,210,120,210
4038,120,210,120,210
4039,120,30,120,30
4040,280,30,280,30
4041,120,210,120,210
4042,280,210,280,210
4043,120,210,120,210
4044,120,210,120,210
4045,120,210,120,210
4046,120,210,120,210
4047,120,210,120,210
4048,120,210,120,210
4049,120,210,120,210
4050,120,210,120,210
4051,280,210,280,210
4052,120,270,120,270
4053,120,270,120,270
4054,200,270,200,270
4055,120,270,120,270
4056,160,270,160,270
4057,120,270,120,270
4058,160,270,160,270
4059,120,270,120,270
4060,120,270,120,270
4061,120,270,120,270
4062,120,270,120,270
4063,200,270,200,270
4064,240,180,240,180
4065,320,180,320,180
4066,240,180,240,180
4067,240,180,240,180
4068,280,180,280,180
4069,240,180,240,180
4070,240,180,240,180
4071,240,180,240,180
4072,80,210,80,210
4073,200,210,200,210
4074,400,180,400,180
4075,240,180,240,180
4076,240,180,240,180
4077,240,180,240,180
4078,240,180,240,180
4079,320,180,320,180
4080,320,180,320,180
4081,240,180,240,180
4082,360,210,360,210
4083,280,180,280,180
4084,120,270,120,270
4085,240,120,240,120
4086,240,120,240,120
4087,280,180,280,180
4088,240,180,240,180
4089,400,180,400,180
4090,320,180,320,180
4091,360,180,360,180
4092,240,180,240,180
4093,160,270,160,270
4094,240,270,240,270
4095,200,270,200,270
4096,200,270,200,270
4097,240,270,240,270
4098,200,270,200,270
4099,240,180,240,180
4100,280,180,280,180
4101,240,180,240,180
4102,280,180,280,180
4103,360,180,360,180
